text,section,UMAP1,UMAP2
"Microsoft touts 'Sender ID' to fight spam, scams. Proposed tech standard would verify senders' IP addresses to cut malicious phishing and annoying Viagra pitches.",Sci/Tech,2.5343179746727635,-3.0376686494918794
"Despite Setbacks, Stahl Maintains Healthy Dose of Optimism. At 23, pitcher Richard Stahl knows there's still time to impress the Baltimore Orioles' front office. He just needs to stay on the mound long enough.",Sports,1.5053039833168675,-0.21199936830720595
He #146;s not short on confidence. It's a case he could have made more convincingly with something other than a half-swing tapper to the pitcher for the final out of yet another in a seemingly endless series of one-run losses for the Red Sox. But Orlando Cabrera wants fans to believe this: For all the futile swings he has made in his two-week incarnation as a ...,Sports,0.49211800538107653,-1.7741374414535491
Cubs Pitcher Kerry Wood Loses Appeal (AP). AP - Cubs pitcher Kerry Wood's appeal was rejected Monday and he will begin serving his five-game suspension Tuesday.,Sports,6.809638862238376,-0.5048538189502685
"Giants' Nen Still Hoping to Pitch in 2005 (AP). AP - It's approaching two years since Robb Nen last pitched in the majors, but he still believes he can do it again #151; despite his troublesome right shoulder.",Sports,-12.795415277852566,3.1602840978530913
"Athletics Win to Hang on to AL West Lead (AP). AP - Mark Redman pitched eight innings of six-hit ball, and the Oakland Athletics used a three-run fifth inning to beat the Baltimore Orioles 3-1 on Monday night.",Sports,3.515505348072498,3.4258006173996
"A's Quiet Orioles. The streaking O's lose for only the third time in 14 games as A's starting pitcher Mark Redman pitches eight strong innings to tame the Orioles, 3-1, on Monday night.",Sports,1.9878766580681493,0.8399681407836945
"This Date in Baseball - Aug. 17 (AP). AP - 1904 #151; Jesse Tannehill of the Boston Red Sox pitched a no-hitter, beating the Chicago White Sox 6-0.",Sports,4.242132310495823,2.0147955972579985
AL Wrap: Redman Helps Athletics Maintain AL West Lead. NEW YORK (Reuters) - Mark Redman pitched eight strong innings as the Oakland Athletics clung on to first place in the American League West with a 3-1 road win over the Baltimore Orioles on Monday.,Sports,4.859753255472629,1.775472696485904
"Ward, Pujols, Jones Put Up Big Numbers (AP). AP - Daryle Ward, Albert Pujols and Chipper Jones had big nights at the plate at the expense of National League pitchers.",Sports,2.5045315071205785,0.027587245765116897
"Baghdad Blast Kills Seven, Najaf Fighting Rages. BAGHDAD (Reuters) - A shell killed seven people in a busy Baghdad street on Tuesday and U.S. forces fought pitched battles with Shi'ite militia in the holy city of Najaf.",World,5.358542089090793,0.6822079975036652
"Iraq Peace Mission in Najaf; Baghdad Blast Kills 7. NAJAF, Iraq (Reuters) - Iraqi political and religious leaders trying to end a radical Shi'ite uprising flew into Najaf Tuesday, where U.S. troops and militia fought pitched battles near the country's holiest Islamic sites.",World,5.329534654245823,0.8098318535713227
"Iraqi Peace Mission in Najaf; Baghdad Blast Kills 7. NAJAF, Iraq (Reuters) - Iraqi political and religious leaders trying to end a radical Shi'ite uprising flew into Najaf Tuesday, where U.S. troops and militia fought pitched battles near the country's holiest Islamic sites.",World,5.293516044245212,0.8746123272804291
Wood's Suspension Upheld (Reuters). Reuters - Major League Baseball\Monday announced a decision on the appeal filed by Chicago Cubs\pitcher Kerry Wood regarding a suspension stemming from an\incident earlier this season.,Sports,5.477355126963108,-0.640936736402127
"Japan Powers Past Cuba in Baseball. ATHENS (Reuters) - In a baseball battle of gold-medal contenders, Japan banged three home runs to defeat Cuba 6-3 Tuesday, as starter Daisuke Matsuzaka pitched into the ninth.",Sports,4.725641493425815,1.4929148513702424
"Athletics' Homers Crush Orioles 11-0 (AP). AP - Tim Hudson pitched a five-hitter to earn his first victory since June 11, and Scott Hatteberg's second grand slam of the season highlighted a four-homer attack that carried the Oakland Athletics past the Baltimore Orioles 11-0 Tuesday night.",Sports,3.4640599533180882,3.753669794264224
"Cabrera Leads Red Sox Past Blue Jays 5-4. BOSTON - Orlando Cabrera hit a run-scoring double off the Green Monster in the ninth inning on reliever Justin Speier's second pitch of the game, giving the Boston Red Sox a 5-4 win over the Toronto Blue Jays on Tuesday night. Pinch-hitter Dave Roberts drew a leadoff walk in the ninth and was forced out at second base on Johnny Damon's grounder off Kevin Frederick (0-2)...",World,-10.460738535298855,2.7045236188797026
"AL Capsules. Orlando Cabrera hit a run-scoring double off the Green Monster in the ninth inning on reliever Justin Speier #39;s second pitch of the game, giving the Boston Red Sox a 5-4 win over the Toronto Blue Jays on Tuesday night.",Sports,-10.499094362630398,2.7178645688919096
